uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5c6b76c6-b628-4861-a2d2-04e968f8e8cf",248,"Payload delivery","md5","818cbb12e8e4662853917bb9970b09d3","ISFB client v24062",1,1550546875,"","","","",""
"5c6b77b4-fc7c-457a-933d-2b8d68f8e8cf",248,"Payload installation","md5","8bf9494f817bbe5ae803dc7fcf22221e","ISFB loader v214062",1,1550546868,"","","","",""
"5c6b77e4-e71c-441b-a975-047b68f8e8cf",248,"Network activity","url","cyihenryqd.city","ISFB v2 loader config",1,1550546916,"","","","",""
"5c6b77e4-050c-4d93-9ead-047b68f8e8cf",248,"Network activity","url","xbtillmanee.company","ISFB v2 loader config",1,1550546916,"","","","",""
"5c6b77e4-1bf4-4698-a2de-047b68f8e8cf",248,"Network activity","url","n79ye83au4268.com","ISFB v2 loader config",1,1550546916,"","","","",""
"5c6b7a93-7370-4ba9-a41a-2b8c68f8e8cf",248,"Payload delivery","malware-sample","2019-02-18-isfbv2-client.vk.dll|818cbb12e8e4662853917bb9970b09d3","",1,1550547603,"malware-sample","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7a93-78ec-4c99-ba14-2b8c68f8e8cf",248,"Payload delivery","filename","2019-02-18-isfbv2-client.vk.dll","",0,1550547603,"filename","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7a93-4b68-4b64-b6cd-2b8c68f8e8cf",248,"Payload delivery","md5","818cbb12e8e4662853917bb9970b09d3","",1,1550547603,"md5","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7a93-b31c-4a57-abac-2b8c68f8e8cf",248,"Payload delivery","sha1","2177f64d36176f8a76c3cbd8348124383325c745","",1,1550547603,"sha1","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7a93-4e20-4239-9c65-2b8c68f8e8cf",248,"Payload delivery","sha256","7f86d97ccfb63f707b0c7a9092f156cea20b525b932b162cf12eeaea6f6baee9","",1,1550547603,"sha256","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7a93-7114-49b9-8e10-2b8c68f8e8cf",248,"Other","size-in-bytes",161280,"",0,1550547603,"size-in-bytes","","5c6b7a93-3c60-4bc7-bcb9-2b8c68f8e8cf","file","file"
"5c6b7aa8-5a14-4eda-9010-2bad68f8e8cf",248,"Payload delivery","malware-sample","2019-02-18-isfbv2-loader.vk.exe|8bf9494f817bbe5ae803dc7fcf22221e","",1,1550547624,"malware-sample","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"
"5c6b7aa8-db88-4c37-a64f-2bad68f8e8cf",248,"Payload delivery","filename","2019-02-18-isfbv2-loader.vk.exe","",0,1550547624,"filename","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"
"5c6b7aa8-3314-4d58-948a-2bad68f8e8cf",248,"Payload delivery","md5","8bf9494f817bbe5ae803dc7fcf22221e","",1,1550547624,"md5","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"
"5c6b7aa8-be78-439c-bb05-2bad68f8e8cf",248,"Payload delivery","sha1","88ff3a6597eb2b72a0d0c9ef8e53222978b79a46","",1,1550547624,"sha1","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"
"5c6b7aa8-90f4-4857-b2e5-2bad68f8e8cf",248,"Payload delivery","sha256","ed5e04a1fae3f69401dfa9f7b1e995e18473060bdbd37a251b6b0071e4ad643a","",1,1550547624,"sha256","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"
"5c6b7aa8-7694-47af-9cde-2bad68f8e8cf",248,"Other","size-in-bytes",44032,"",0,1550547624,"size-in-bytes","","5c6b7aa8-a424-422d-b9ec-2bad68f8e8cf","file","file"

